TRUE,LSTM,RNN,Transformer,GRU,BiLSTM,Transformer-LSTM,Informer,Transformer-BiLSTM
63.339,41.744133,55.067543,30.771832,60.519684,49.54016,60.801727,63.831215,62.212044
56.148,48.273792,55.067554,50.0731,57.367226,66.76946,51.774097,56.424603,56.097984
62.573,48.41114,55.06755,50.073586,60.56632,59.150898,63.214386,63.74506,63.032143
62.493,44.60899,55.067554,57.181007,62.404404,52.928745,62.859043,61.598858,60.07963
61.058,56.3725,55.067554,55.454956,63.598484,59.2965,39.49459,61.289944,61.020905
52.72,37.229755,55.067554,47.5614,63.483456,45.74297,38.6778,53.274895,54.896782
58.801,53.60715,55.067554,57.990135,58.899887,58.819702,16.27012,59.477177,57.982796
63.365,60.28716,55.06755,57.91428,59.101917,60.7277,18.919933,64.15088,63.933582
61.452,57.39095,55.067554,57.68752,58.38886,63.02638,15.39356,60.93362,61.157753
53.055,54.9055,55.067554,57.687798,59.71909,58.542862,16.13645,55.032063,52.88979
59.068,54.422863,55.06755,57.687897,64.77356,60.43554,13.758895,58.58222,59.036877
59.769,58.581913,55.067554,57.10746,64.55392,63.646973,17.347149,59.89444,59.152576
54.188,57.73298,55.067554,57.688435,61.019814,57.569103,17.815416,54.862705,54.36069
63.797,46.706566,55.067543,57.688267,63.746483,42.326904,14.093424,64.17368,63.629
54.423,58.178673,55.067554,57.09687,63.419243,60.04004,16.182169,56.527714,54.32359
63.62,56.955708,55.06755,57.09776,58.26366,54.29699,16.298025,64.36374,63.834404
58.846,53.793503,55.067554,57.89166,62.393295,66.80858,58.878174,60.452953,57.917152
61.854,52.99375,55.06755,57.91428,60.124615,51.38075,58.3773,63.532166,60.660145
58.329,41.661503,55.067554,57.891594,65.3435,43.8661,60.7624,58.85802,57.634647
61.865,53.906197,55.06755,57.097427,65.58846,50.12672,62.40133,61.60816,61.590652
53.579,55.25401,55.067554,57.89166,55.878464,55.716034,57.076153,55.026783,54.361065
63.397,59.321735,55.06755,57.688076,64.32235,56.295277,63.726658,65.40899,64.08677
62.476,46.03296,55.067554,57.8914,56.961918,53.021263,52.821693,63.154427,60.357967
40.009,58.012283,55.067554,57.446968,57.900375,55.646652,57.937416,39.636658,39.363934
39.366,39.525623,55.067547,57.824482,59.593113,54.568394,55.636955,39.752003,37.640007
15.428,53.39863,55.06755,46.377964,42.066154,50.080505,64.4924,15.563802,14.397753
19.063,39.756058,55.06755,42.97408,57.718166,31.869135,62.073685,16.96956,18.338766
15.651,15.040188,55.06755,41.301476,62.412727,40.223763,55.73217,15.759245,16.15418
15.974,19.556871,55.067547,42.155655,62.048397,22.06056,51.81184,15.240646,14.643736
13.658,34.69605,55.06755,44.00589,59.690075,31.09487,62.354946,15.253421,13.956425
17.197,32.56069,55.067543,45.68907,59.82852,27.576172,54.042126,18.137812,16.279406
17.288,47.1323,55.06755,44.00673,62.382767,31.108896,56.613758,18.811632,16.269844
14.204,23.645082,55.06755,43.183884,64.373726,36.52788,55.069187,16.539755,15.263121
16.723,25.53403,55.06755,44.649723,66.33124,23.582273,59.876747,18.334936,15.801565
17.428,30.542578,55.06755,42.68655,63.675888,34.004272,56.24383,18.669472,16.328766
59.206,21.133556,55.06755,43.72444,60.768265,30.189651,60.681343,61.98055,60.048702
58.84,32.052784,55.067554,54.844753,61.500877,38.35167,56.53726,59.887447,60.20052
60.627,49.76269,55.067554,55.9693,64.45938,50.758587,61.664204,61.168217,61.042995
