数据时间,车辆状态,累计里程,总电压,总电流,电池单体电压最高值,电池单体电压最低值,最高温度值,最低温度值,可充电储能子系统各温度探针检测到的温度值,可充电储能装置电压,可充电储能装置电流,单体电池电压,驾驶习惯,充电量
2022-03-13 06:21:58,2.41,359566.4,356.818,-78.824,3.982,3.952,30.389,28.292,29.188,356.818,-78.824,3.964,7.967,62.662
2022-03-13 06:21:58,2.0,365889.8,360.18,-82.792,4.012,3.982,31.128,28.56,29.727,360.18,-82.792,4.001,7.726,57.048
2022-03-13 15:25:58,2.0,129193.9,357.585,-88.136,3.983,3.94,32.571,28.842,30.021,357.585,-88.136,3.975,7.836,64.694
2022-03-13 17:02:08,2.0,310822.3,359.083,-82.881,4.004,3.973,33.855,31.076,31.918,359.083,-82.881,3.991,8.114,59.87
2022-03-13 17:16:38,2.0,248433.1,358.935,-85.001,4.003,3.972,31.354,28.898,29.958,358.935,-85.001,3.987,7.94,59.516
2022-03-13 17:23:38,2.0,366135.8,360.461,-80.863,4.014,3.985,32.595,29.175,30.786,360.461,-80.863,4.004,7.877,56.216
2022-03-13 17:46:48,2.158,359780.9,354.638,-80.309,3.957,3.929,30.618,28.033,28.886,354.638,-80.309,3.94,8.136,67.434
2022-03-14 03:43:58,2.0,366319.6,357.287,-86.913,3.979,3.951,31.215,28.252,29.318,357.287,-86.913,3.969,7.977,64.737
2022-03-14 04:35:18,2.0,304548.3,357.946,-85.714,3.993,3.955,30.85,28.075,29.119,357.946,-85.714,3.98,8.007,62.883
2022-03-14 04:37:58,2.0,311072.2,357.235,-82.372,3.983,3.954,29.493,27.235,28.173,357.235,-82.372,3.97,8.059,62.061
2022-03-14 05:49:18,2.0,248687.2,359.477,-84.189,4.01,3.978,31.072,28.832,29.81,359.477,-84.189,3.993,7.866,58.016
2022-03-14 06:04:18,2.0,234379.8,358.552,-82.562,3.998,3.967,31.045,28.586,29.587,358.552,-82.562,3.985,7.987,60.555
2022-03-14 06:18:58,2.394,360038.0,356.942,-79.07,3.984,3.954,30.465,28.387,29.31,356.942,-79.07,3.966,7.972,61.98
2022-03-14 15:04:38,2.0,129549.5,356.921,-84.279,3.975,3.933,32.154,28.75,29.9,356.921,-84.279,3.968,7.967,63.508
2022-03-14 16:20:38,2.0,304744.0,357.273,-86.909,3.984,3.948,34.068,30.318,31.679,357.273,-86.909,3.973,8.04,63.285
2022-03-14 16:44:08,2.0,206587.7,356.084,-83.57,3.972,3.939,32.283,27.101,28.811,356.084,-83.57,3.957,7.822,63.901
2022-03-14 16:55:08,2.0,248889.6,357.414,-87.603,3.986,3.955,31.735,29.008,30.121,357.414,-87.603,3.97,7.999,63.783
2022-03-14 17:15:08,2.0,311259.3,357.42,-85.104,3.985,3.955,33.659,30.993,31.819,357.42,-85.104,3.972,8.027,64.793
2022-03-14 17:19:18,1.814,234580.5,357.051,-83.425,3.98,3.95,32.729,29.121,30.213,357.051,-83.425,3.968,7.936,64.462
